Movie_name,Actors,Crtitic_ratings,Release date & duration,User_ratings,Language,Movie_type
Good Newwz,"Akshay Kumar, Kareena Kapoor, Diljit Dosanjh, Kiara Advani, Anjana Sukhani, Gulshan Grover, Auritra Ghosh",3.5,27 Dec 2019 | 2 hrs 14 mins,3.4,Hindi,"Comedy, Drama | UA"
Dabangg 3,"Salman Khan, Sonakshi Sinha, Arbaaz Khan, Kichcha Sudeepa, Saiee Manjrekar, Mahie Gill, Pramod Khanna, Nikitin Dheer, Tinnu Anand, Pankaj Tripathi, Nawab Shah, Mahesh Manjrekar, Amole Gupte, Warina Hussain",3,20 Dec 2019 | 2 hrs 23 mins,3.2,"Hindi, Telugu, Kannada, Tamil","Action, Romance, Thriller | UA"
Sound Of Water,"Ramesh Goyal, Chetan Sharma, Abraam Pandey, Jaspreet Kaur",3.4,13 Dec 2019 | 2 hrs 25 mins,,Hindi,Drama
The Body,"Emraan Hashmi, Rishi Kapoor, Vedhika, Sobhita Dhulipala",2.5,13 Dec 2019 | 2 hrs 15 mins,2.8,Hindi,Drama | UA
Mudda 370 J&K,"Hiten Tejwani, Manoj Joshi, Raj Zutshi, Zarina Wahab",1,13 Dec 2019 | 2 hrs 12 mins,1.7,Hindi,Drama | A
Kanoon Ke Khiladi,"Hemant Birje, Gulshan Pandey, Anil Yadav",2.8,13 Dec 2019 | 2 hrs 6 mins,,Hindi,Drama | UA
Unfriends,"Rajat Rawail, Himayat Ali, Mousumi Biswas, Nafe Khan, Ayaan Khan, Sahil Akhtar",1,13 Dec 2019 | 2 hrs 10 mins,1.7,Hindi,Drama | UA
Mardaani 2,"Rani Mukerji, Shruti Bapna, Rajesh Sharma, Jisshu Sengupta, Deepika Amin, Vikram Singh Chauhan, Vishal Jethwa",3.5,13 Dec 2019 | 2 hrs 2 mins,3.4,Hindi,"Action, Crime, Thriller | UA"
Panipat,"Sanjay Dutt, Kriti Sanon, Arjun Kapoor, Padmini Kolhapure, Zeenat Aman, Mohnish Bahl, Suhasini Mulay, Ravindra Mahajani, Gashmeer Mahajani, Nawab Shah, Krutika Deo, Sham Mashalkar",3.5,06 Dec 2019 | 2 hrs 53 mins,3.3,Hindi,"Drama, Action, History | U"
A Gift Of Love: Sifar,"Sudha Chandran, Kanikka Kapur, Mushtaq Khan, Anang Desai",1.5,06 Dec 2019 | 1 hr 39 mins,,Hindi,"Drama,Romantic | UA"
Pati Patni Aur Woh,"Kartik Aaryan, Bhumi Pednekar, Ananya Panday, Aparshakti Khurana, Rajesh Sharma, K.K. Raina, Navni Parihar, Ankita Goraya",3.5,06 Dec 2019 | 2 hrs 2 mins,3.4,Hindi,"Comedy, Romance | UA"
X Ray: The Inner Image,"Rahul Sharma, Yashika Kapoor",2,29 Nov 2019 | 1 hr 33 mins,2.6,"Hindi, English, Tamil, Telugu, Kannada","Drama, Thriller | A"
LuvUTurn,"Ruslaan Mumtaz, Adhvik Mahajan, Ruhi Chaturvegi, Purva Rana",3.5,29 Nov 2019 | 2 hrs 2 mins,,Hindi,"Drama,Romantic | UA"
Tony,"Jinal Belani, Manoj Chandila, Kabeer Chilwal, Yashodhan Rana, Akshay Verma",2.5,29 Nov 2019 | 1 hr 55 mins,2.8,Hindi,Drama | UA
